feature,importance
WMO_WIND_7,200
SIN_DATE,130
WMO_PRESSURE_7,112
COS_LATITUDE_7,80
COS_DATE,78
DISTANCE_TO_LAND_7,75
WMO_WIND_0,51
WMO_WIND_4,48
COS_LONGITUDE_7,38
SIN_LONGITUDE_7,34
WMO_WIND_5,32
basin_AN_0,32
COS_LONGITUDE_0,31
COS_LATITUDE_0,28
STORM_TRANSLATION_SPEED_7,28
WMO_WIND_3,27
WMO_PRESSURE_0,26
SIN_LONGITUDE_0,24
SIN_LATITUDE_7,22
DISTANCE_TO_LAND_0,21
WMO_WIND_6,21
WMO_PRESSURE_5,20
COS_LONGITUDE_6,18
SIN_LATITUDE_6,17
COS_LATITUDE_1,17
WMO_WIND_1,16
DISTANCE_TO_LAND_1,14
COS_LATITUDE_5,13
WMO_PRESSURE_6,13
basin_NI_0,13
WMO_PRESSURE_4,13
COS_LATITUDE_3,12
SIN_LONGITUDE_5,12
COS_LATITUDE_6,11
WMO_PRESSURE_3,11
basin_EP_0,11
DISTANCE_TO_LAND_6,10
DISTANCE_TO_LAND_4,10
WMO_WIND_2,10
SIN_LATITUDE_4,9
WMO_PRESSURE_1,9
COS_LONGITUDE_5,9
DISTANCE_TO_LAND_5,9
COS_LONGITUDE_4,9
DISTANCE_TO_LAND_2,8
STORM_TRANSLATION_SPEED_0,8
SIN_LATITUDE_2,8
DISTANCE_TO_LAND_3,8
STORM_TRANSLATION_SPEED_3,7
COS_LONGITUDE_2,7
SIN_LONGITUDE_1,7
STORM_TRANSLATION_SPEED_6,7
COS_LONGITUDE_1,6
SIN_LATITUDE_3,5
SIN_LONGITUDE_6,5
COS_LONGITUDE_3,4
SIN_LONGITUDE_2,4
SIN_LATITUDE_0,4
basin_WP_0,4
STORM_TRANSLATION_SPEED_5,4
STORM_TRANSLATION_SPEED_2,4
WMO_PRESSURE_2,4
SIN_LATITUDE_5,3
SIN_LONGITUDE_3,3
SIN_LATITUDE_1,3
COS_LATITUDE_2,3
COS_LATITUDE_4,2
STORM_TRANSLATION_SPEED_1,2
SIN_LONGITUDE_4,2
STORM_TRANSLATION_SPEED_4,2
basin_SP_0,1
basin_SI_0,0
